Designator,Footprint,Quantity,Value,LCSC Part #
A1,2450AT18D0100_STD-R,1,2450AT18D0100,
"C1, C17",0402,2,0.7pF,
"C10, C11, C12, C13, C14, C15, C6, C8, C9",CAPC0603X03L_C,9,100nF,
"C16, C2, C3, C5",CAPC1005X04L,4,1.0µF,
"C18, C19",0402,2,N.C.,
C4,CAPC0603X03L_C,1,2.2nF,
C7,0402,1,1.0µF,
D1,0402,1,D,
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J3,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
"L1, L4",0402,2,2.2nH,
"L2, L3",INDC1608X06L,2,10µH,
"LED1, LED2, LED3",0603,3,L0603G,
"R1, R2, R3",RESC0603X03L_C,3,220R,
"TPclk1, TPgnd1, TPio1, TPset1",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,Nordic_AQFN-94-1EP_7x7mm_P0.4mm,1,nRF5340-QKxx,
X1,BT-XTAL_2016,1,32MHz,
X2,XTAL_2012,1,32.768kHz,
