Designator,Mid X,Mid Y,Rotation,Layer
_6,188.95,-59.58,0.0,top
_5,188.93,-58.16,0.0,top
_4,188.94,-60.48,0.0,top
_3,188.95,-55.92,0.0,top
_2,188.92,-57.33,0.0,top
,188.96,-61.8,0.0,top
A1,182.87492,-70.09992,270.0,top
C1,183.09,-70.7,66.0,top
C10,172.225,-64.7,270.0,top
C11,179.0,-66.955,270.0,top
C12,179.83,-66.86,0.0,top
C13,182.045,-61.545,270.0,top
C14,182.135,-59.88,0.0,top
C15,182.15,-57.9,90.0,top
C16,174.925,-54.05,180.0,top
C17,183.36,-61.42,270.0,top
C18,182.85853,-67.266251,150.0,top
C19,185.31853,-62.826248,150.0,top
C2,176.24,-55.125,270.0,top
C3,180.875,-54.24,180.0,top
C4,185.69,-59.98,180.0,top
C5,174.29,-55.475,270.0,top
C6,179.775,-55.85,90.0,top
C7,176.44,-56.74,0.0,top
C8,172.225,-59.25,270.0,top
C9,172.275,-62.32,90.0,top
D1,179.78,-54.4,0.0,top
J1,183.59,-55.28,270.0,top
J2,192.9,-58.765,90.0,top
J3,177.05,-71.53,270.0,top
L1,182.145643,-68.828746,288.0,top
L2,179.1,-57.8875,0.0,top
L3,176.225,-55.85,0.0,top
L4,184.941283,-61.241283,135.0,top
LED1,177.925,-68.55,90.0,top
LED2,176.45,-68.55,90.0,top
LED3,174.95,-68.55,90.0,top
R1,177.975,-66.525,180.0,top
R2,176.5,-66.525,180.0,top
R3,175.075,-66.525,180.0,top
U1,177.21,-61.849503,0.0,top
X1,182.1475,-58.32,270.0,top
X2,172.245,-58.435,0.0,top
